date,hour_start,hour_end,production_gallons,timestamp_start,timestamp_end
2022-07-22,11,12,3,2022-07-22 11:00:00,2022-07-22 12:00:00
2022-07-22,12,13,425,2022-07-22 12:00:00,2022-07-22 13:00:00
2022-07-22,13,14,6,2022-07-22 13:00:00,2022-07-22 14:00:00
2022-07-22,14,15,0,2022-07-22 14:00:00,2022-07-22 15:00:00
2022-07-22,15,16,490,2022-07-22 15:00:00,2022-07-22 16:00:00
2022-07-22,16,17,673,2022-07-22 16:00:00,2022-07-22 17:00:00
2022-07-22,17,18,669,2022-07-22 17:00:00,2022-07-22 18:00:00
2022-07-22,18,19,452,2022-07-22 18:00:00,2022-07-22 19:00:00
2022-07-22,19,20,2,2022-07-22 19:00:00,2022-07-22 20:00:00
2022-07-22,20,21,129,2022-07-22 20:00:00,2022-07-22 21:00:00
2022-07-26,9,10,21,2022-07-26 09:00:00,2022-07-26 10:00:00
2022-07-26,10,11,8,2022-07-26 10:00:00,2022-07-26 11:00:00
2022-07-26,11,12,0,2022-07-26 11:00:00,2022-07-26 12:00:00
2022-07-26,12,13,1,2022-07-26 12:00:00,2022-07-26 13:00:00
2022-07-26,13,14,263,2022-07-26 13:00:00,2022-07-26 14:00:00
2022-07-26,14,15,160,2022-07-26 14:00:00,2022-07-26 15:00:00
2022-07-26,15,16,568,2022-07-26 15:00:00,2022-07-26 16:00:00
2022-07-26,16,17,670,2022-07-26 16:00:00,2022-07-26 17:00:00
2022-07-26,17,18,540,2022-07-26 17:00:00,2022-07-26 18:00:00
2022-07-26,18,19,12,2022-07-26 18:00:00,2022-07-26 19:00:00
2022-08-01,14,15,168,2022-08-01 14:00:00,2022-08-01 15:00:00
2022-08-01,15,16,40,2022-08-01 15:00:00,2022-08-01 16:00:00
2022-08-01,16,17,243,2022-08-01 16:00:00,2022-08-01 17:00:00
2022-08-01,17,18,303,2022-08-01 17:00:00,2022-08-01 18:00:00
2022-08-04,10,11,221,2022-08-04 10:00:00,2022-08-04 11:00:00
2022-08-04,11,12,445,2022-08-04 11:00:00,2022-08-04 12:00:00
2022-08-04,12,13,108,2022-08-04 12:00:00,2022-08-04 13:00:00
2022-08-04,15,16,170,2022-08-04 15:00:00,2022-08-04 16:00:00
2022-08-04,16,17,146,2022-08-04 16:00:00,2022-08-04 17:00:00
2022-09-02,11,12,84,2022-09-02 11:00:00,2022-09-02 12:00:00
2022-09-02,12,13,96,2022-09-02 12:00:00,2022-09-02 13:00:00
2022-09-02,13,14,1,2022-09-02 13:00:00,2022-09-02 14:00:00
2022-09-02,14,15,193,2022-09-02 14:00:00,2022-09-02 15:00:00
2022-09-02,15,16,294,2022-09-02 15:00:00,2022-09-02 16:00:00
2022-09-02,16,17,239,2022-09-02 16:00:00,2022-09-02 17:00:00
2022-09-06,14,15,120,2022-09-06 14:00:00,2022-09-06 15:00:00
2022-09-06,15,16,383,2022-09-06 15:00:00,2022-09-06 16:00:00
2022-09-06,16,17,447,2022-09-06 16:00:00,2022-09-06 17:00:00
2022-09-06,17,18,312,2022-09-06 17:00:00,2022-09-06 18:00:00
2022-09-08,14,15,455,2022-09-08 14:00:00,2022-09-08 15:00:00
2022-09-08,15,16,452,2022-09-08 15:00:00,2022-09-08 16:00:00
2022-09-12,13,14,120,2022-09-12 13:00:00,2022-09-12 14:00:00
2022-09-12,14,15,284,2022-09-12 14:00:00,2022-09-12 15:00:00
2022-09-12,15,16,222,2022-09-12 15:00:00,2022-09-12 16:00:00
2022-09-12,16,17,266,2022-09-12 16:00:00,2022-09-12 17:00:00
2022-09-15,10,11,341,2022-09-15 10:00:00,2022-09-15 11:00:00
2022-09-15,11,12,453,2022-09-15 11:00:00,2022-09-15 12:00:00
2022-09-15,13,14,197,2022-09-15 13:00:00,2022-09-15 14:00:00
2022-09-15,14,15,450,2022-09-15 14:00:00,2022-09-15 15:00:00
2022-09-15,15,16,352,2022-09-15 15:00:00,2022-09-15 16:00:00
2022-09-15,16,17,149,2022-09-15 16:00:00,2022-09-15 17:00:00
2022-09-20,10,11,191,2022-09-20 10:00:00,2022-09-20 11:00:00
2022-09-20,11,12,291,2022-09-20 11:00:00,2022-09-20 12:00:00
2022-09-20,13,14,79,2022-09-20 13:00:00,2022-09-20 14:00:00
2022-09-20,14,15,219,2022-09-20 14:00:00,2022-09-20 15:00:00
2022-09-22,11,12,428,2022-09-22 11:00:00,2022-09-22 12:00:00
2022-09-22,13,14,214,2022-09-22 13:00:00,2022-09-22 14:00:00
2022-09-22,14,15,330,2022-09-22 14:00:00,2022-09-22 15:00:00
2022-09-22,15,16,243,2022-09-22 15:00:00,2022-09-22 16:00:00
2022-09-22,16,17,191,2022-09-22 16:00:00,2022-09-22 17:00:00
2022-09-28,14,15,116,2022-09-28 14:00:00,2022-09-28 15:00:00
2022-09-28,15,16,290,2022-09-28 15:00:00,2022-09-28 16:00:00
2022-09-28,17,18,146,2022-09-28 17:00:00,2022-09-28 18:00:00
2022-10-07,13,14,55,2022-10-07 13:00:00,2022-10-07 14:00:00
2022-10-07,14,15,347,2022-10-07 14:00:00,2022-10-07 15:00:00
2022-10-07,15,16,327,2022-10-07 15:00:00,2022-10-07 16:00:00
2022-10-07,16,17,375,2022-10-07 16:00:00,2022-10-07 17:00:00
2022-10-07,17,18,178,2022-10-07 17:00:00,2022-10-07 18:00:00
2022-10-10,13,14,86,2022-10-10 13:00:00,2022-10-10 14:00:00
2022-10-10,14,15,297,2022-10-10 14:00:00,2022-10-10 15:00:00
2022-10-10,16,17,188,2022-10-10 16:00:00,2022-10-10 17:00:00
2022-10-11,11,12,223,2022-10-11 11:00:00,2022-10-11 12:00:00
2022-10-11,12,13,125,2022-10-11 12:00:00,2022-10-11 13:00:00
2022-10-13,10,11,151,2022-10-13 10:00:00,2022-10-13 11:00:00
2022-10-13,11,12,398,2022-10-13 11:00:00,2022-10-13 12:00:00
2022-10-13,13,14,91,2022-10-13 13:00:00,2022-10-13 14:00:00
2022-10-13,15,16,226,2022-10-13 15:00:00,2022-10-13 16:00:00
2022-10-13,16,17,141,2022-10-13 16:00:00,2022-10-13 17:00:00
2022-10-20,15,16,301,2022-10-20 15:00:00,2022-10-20 16:00:00
2022-10-24,14,15,389,2022-10-24 14:00:00,2022-10-24 15:00:00
2022-10-24,15,16,138,2022-10-24 15:00:00,2022-10-24 16:00:00
2022-10-24,16,17,131,2022-10-24 16:00:00,2022-10-24 17:00:00
2022-10-24,17,18,336,2022-10-24 17:00:00,2022-10-24 18:00:00
2022-10-24,18,19,180,2022-10-24 18:00:00,2022-10-24 19:00:00
2022-10-25,11,12,294,2022-10-25 11:00:00,2022-10-25 12:00:00
2022-10-25,12,13,244,2022-10-25 12:00:00,2022-10-25 13:00:00
2022-10-25,13,14,0,2022-10-25 13:00:00,2022-10-25 14:00:00
2022-10-25,14,15,366,2022-10-25 14:00:00,2022-10-25 15:00:00
2022-10-25,15,16,533,2022-10-25 15:00:00,2022-10-25 16:00:00
2022-10-25,16,17,452,2022-10-25 16:00:00,2022-10-25 17:00:00
2022-10-25,17,18,160,2022-10-25 17:00:00,2022-10-25 18:00:00
2022-10-26,16,17,95,2022-10-26 16:00:00,2022-10-26 17:00:00
2022-10-26,17,18,333,2022-10-26 17:00:00,2022-10-26 18:00:00
2022-10-28,16,17,226,2022-10-28 16:00:00,2022-10-28 17:00:00
2022-10-28,17,18,232,2022-10-28 17:00:00,2022-10-28 18:00:00
2022-10-31,11,12,431,2022-10-31 11:00:00,2022-10-31 12:00:00
2022-10-31,12,13,0,2022-10-31 12:00:00,2022-10-31 13:00:00
2022-10-31,13,14,194,2022-10-31 13:00:00,2022-10-31 14:00:00
2022-10-31,14,15,74,2022-10-31 14:00:00,2022-10-31 15:00:00
2022-10-31,15,16,238,2022-10-31 15:00:00,2022-10-31 16:00:00
2022-10-31,16,17,236,2022-10-31 16:00:00,2022-10-31 17:00:00
2022-10-31,17,18,404,2022-10-31 17:00:00,2022-10-31 18:00:00
2022-10-31,18,19,162,2022-10-31 18:00:00,2022-10-31 19:00:00
2022-11-03,11,12,227,2022-11-03 11:00:00,2022-11-03 12:00:00
2022-11-03,12,13,44,2022-11-03 12:00:00,2022-11-03 13:00:00
2022-11-03,13,14,40,2022-11-03 13:00:00,2022-11-03 14:00:00
2022-11-03,14,15,147,2022-11-03 14:00:00,2022-11-03 15:00:00
2022-11-03,15,16,246,2022-11-03 15:00:00,2022-11-03 16:00:00
2022-11-03,16,17,294,2022-11-03 16:00:00,2022-11-03 17:00:00
2022-11-08,12,13,203,2022-11-08 12:00:00,2022-11-08 13:00:00
2022-11-08,13,14,31,2022-11-08 13:00:00,2022-11-08 14:00:00
2022-11-08,14,15,120,2022-11-08 14:00:00,2022-11-08 15:00:00
2022-11-08,15,16,466,2022-11-08 15:00:00,2022-11-08 16:00:00
2022-11-08,16,17,49,2022-11-08 16:00:00,2022-11-08 17:00:00
2022-11-08,17,18,362,2022-11-08 17:00:00,2022-11-08 18:00:00
2022-11-08,18,19,157,2022-11-08 18:00:00,2022-11-08 19:00:00
2022-11-11,14,15,46,2022-11-11 14:00:00,2022-11-11 15:00:00
2022-11-11,15,16,247,2022-11-11 15:00:00,2022-11-11 16:00:00
2022-11-11,16,17,51,2022-11-11 16:00:00,2022-11-11 17:00:00
2022-11-11,17,18,230,2022-11-11 17:00:00,2022-11-11 18:00:00
2022-11-14,15,16,145,2022-11-14 15:00:00,2022-11-14 16:00:00
2022-11-14,16,17,185,2022-11-14 16:00:00,2022-11-14 17:00:00
2022-11-15,11,12,535,2022-11-15 11:00:00,2022-11-15 12:00:00
2022-11-15,12,13,0,2022-11-15 12:00:00,2022-11-15 13:00:00
2022-11-15,13,14,0,2022-11-15 13:00:00,2022-11-15 14:00:00
2022-11-15,14,15,520,2022-11-15 14:00:00,2022-11-15 15:00:00
2022-11-15,15,16,267,2022-11-15 15:00:00,2022-11-15 16:00:00
2022-11-21,13,14,178,2022-11-21 13:00:00,2022-11-21 14:00:00
2022-11-21,14,15,0,2022-11-21 14:00:00,2022-11-21 15:00:00
2022-11-21,15,16,0,2022-11-21 15:00:00,2022-11-21 16:00:00
2022-11-21,16,17,188,2022-11-21 16:00:00,2022-11-21 17:00:00
2022-11-21,17,18,240,2022-11-21 17:00:00,2022-11-21 18:00:00
2022-11-23,15,16,312,2022-11-23 15:00:00,2022-11-23 16:00:00
2022-11-23,16,17,466,2022-11-23 16:00:00,2022-11-23 17:00:00
2022-11-23,17,18,166,2022-11-23 17:00:00,2022-11-23 18:00:00
2022-11-28,12,13,407,2022-11-28 12:00:00,2022-11-28 13:00:00
2022-11-28,13,14,0,2022-11-28 13:00:00,2022-11-28 14:00:00
2022-11-28,14,15,0,2022-11-28 14:00:00,2022-11-28 15:00:00
2022-11-28,15,16,42,2022-11-28 15:00:00,2022-11-28 16:00:00
2022-11-28,16,17,312,2022-11-28 16:00:00,2022-11-28 17:00:00
2022-11-28,17,18,470,2022-11-28 17:00:00,2022-11-28 18:00:00
2022-11-28,18,19,365,2022-11-28 18:00:00,2022-11-28 19:00:00
2022-12-02,12,13,0,2022-12-02 12:00:00,2022-12-02 13:00:00
2022-12-02,13,14,196,2022-12-02 13:00:00,2022-12-02 14:00:00
2022-12-02,14,15,212,2022-12-02 14:00:00,2022-12-02 15:00:00
2022-12-02,15,16,101,2022-12-02 15:00:00,2022-12-02 16:00:00
2022-12-05,12,13,11,2022-12-05 12:00:00,2022-12-05 13:00:00
2022-12-05,13,14,103,2022-12-05 13:00:00,2022-12-05 14:00:00
2022-12-05,14,15,6,2022-12-05 14:00:00,2022-12-05 15:00:00
2022-12-05,15,16,438,2022-12-05 15:00:00,2022-12-05 16:00:00
2022-12-06,7,8,173,2022-12-06 07:00:00,2022-12-06 08:00:00
2022-12-06,8,9,0,2022-12-06 08:00:00,2022-12-06 09:00:00
2022-12-06,9,10,5,2022-12-06 09:00:00,2022-12-06 10:00:00
2022-12-06,10,11,0,2022-12-06 10:00:00,2022-12-06 11:00:00
2022-12-06,11,12,0,2022-12-06 11:00:00,2022-12-06 12:00:00
2022-12-06,12,13,0,2022-12-06 12:00:00,2022-12-06 13:00:00
2022-12-06,13,14,74,2022-12-06 13:00:00,2022-12-06 14:00:00
2022-12-06,14,15,274,2022-12-06 14:00:00,2022-12-06 15:00:00
2022-12-06,15,16,457,2022-12-06 15:00:00,2022-12-06 16:00:00
2022-12-06,16,17,67,2022-12-06 16:00:00,2022-12-06 17:00:00
2022-12-08,11,12,602,2022-12-08 11:00:00,2022-12-08 12:00:00
2022-12-08,12,13,329,2022-12-08 12:00:00,2022-12-08 13:00:00
2022-12-08,13,14,0,2022-12-08 13:00:00,2022-12-08 14:00:00
2022-12-08,14,15,293,2022-12-08 14:00:00,2022-12-08 15:00:00
2022-12-08,15,16,89,2022-12-08 15:00:00,2022-12-08 16:00:00
2022-12-08,16,17,353,2022-12-08 16:00:00,2022-12-08 17:00:00
2022-12-08,17,18,190,2022-12-08 17:00:00,2022-12-08 18:00:00
2022-12-13,7,8,10,2022-12-13 07:00:00,2022-12-13 08:00:00
2022-12-13,8,9,106,2022-12-13 08:00:00,2022-12-13 09:00:00
2022-12-13,9,10,2,2022-12-13 09:00:00,2022-12-13 10:00:00
2022-12-13,10,11,291,2022-12-13 10:00:00,2022-12-13 11:00:00
2022-12-13,11,12,258,2022-12-13 11:00:00,2022-12-13 12:00:00
2022-12-13,12,13,54,2022-12-13 12:00:00,2022-12-13 13:00:00
2022-12-13,13,14,19,2022-12-13 13:00:00,2022-12-13 14:00:00
2022-12-13,14,15,184,2022-12-13 14:00:00,2022-12-13 15:00:00
2022-12-13,15,16,71,2022-12-13 15:00:00,2022-12-13 16:00:00
2022-12-13,16,17,399,2022-12-13 16:00:00,2022-12-13 17:00:00
2022-12-16,16,17,104,2022-12-16 16:00:00,2022-12-16 17:00:00
2022-12-16,17,18,121,2022-12-16 17:00:00,2022-12-16 18:00:00
2022-12-19,11,12,205,2022-12-19 11:00:00,2022-12-19 12:00:00
2022-12-19,12,13,0,2022-12-19 12:00:00,2022-12-19 13:00:00
2022-12-19,13,14,0,2022-12-19 13:00:00,2022-12-19 14:00:00
2022-12-19,14,15,150,2022-12-19 14:00:00,2022-12-19 15:00:00
2022-12-19,15,16,129,2022-12-19 15:00:00,2022-12-19 16:00:00
2022-12-19,16,17,59,2022-12-19 16:00:00,2022-12-19 17:00:00
2022-12-20,11,12,111,2022-12-20 11:00:00,2022-12-20 12:00:00
2022-12-20,12,13,246,2022-12-20 12:00:00,2022-12-20 13:00:00
2022-12-20,13,14,0,2022-12-20 13:00:00,2022-12-20 14:00:00
2022-12-20,14,15,379,2022-12-20 14:00:00,2022-12-20 15:00:00
2022-12-20,15,16,508,2022-12-20 15:00:00,2022-12-20 16:00:00
2022-12-20,16,17,413,2022-12-20 16:00:00,2022-12-20 17:00:00
2022-12-20,17,18,284,2022-12-20 17:00:00,2022-12-20 18:00:00
2022-12-21,10,11,302,2022-12-21 10:00:00,2022-12-21 11:00:00
2022-12-21,11,12,365,2022-12-21 11:00:00,2022-12-21 12:00:00
2022-12-21,12,13,36,2022-12-21 12:00:00,2022-12-21 13:00:00
2022-12-21,13,14,0,2022-12-21 13:00:00,2022-12-21 14:00:00
2022-12-21,14,15,143,2022-12-21 14:00:00,2022-12-21 15:00:00
2022-12-21,15,16,407,2022-12-21 15:00:00,2022-12-21 16:00:00
2022-12-21,16,17,397,2022-12-21 16:00:00,2022-12-21 17:00:00
2022-12-21,17,18,498,2022-12-21 17:00:00,2022-12-21 18:00:00
2022-12-22,11,12,434,2022-12-22 11:00:00,2022-12-22 12:00:00
2022-12-22,12,13,40,2022-12-22 12:00:00,2022-12-22 13:00:00
2022-12-22,13,14,0,2022-12-22 13:00:00,2022-12-22 14:00:00
2022-12-22,14,15,0,2022-12-22 14:00:00,2022-12-22 15:00:00
2022-12-22,15,16,441,2022-12-22 15:00:00,2022-12-22 16:00:00
2022-12-22,16,17,422,2022-12-22 16:00:00,2022-12-22 17:00:00
2022-12-23,9,10,160,2022-12-23 09:00:00,2022-12-23 10:00:00
2022-12-23,10,11,349,2022-12-23 10:00:00,2022-12-23 11:00:00
2022-12-23,11,12,319,2022-12-23 11:00:00,2022-12-23 12:00:00
2022-12-23,12,13,230,2022-12-23 12:00:00,2022-12-23 13:00:00
2022-12-26,15,16,60,2022-12-26 15:00:00,2022-12-26 16:00:00
2022-12-26,16,17,282,2022-12-26 16:00:00,2022-12-26 17:00:00
2022-12-27,10,11,244,2022-12-27 10:00:00,2022-12-27 11:00:00
2022-12-27,11,12,203,2022-12-27 11:00:00,2022-12-27 12:00:00
2022-12-27,12,13,294,2022-12-27 12:00:00,2022-12-27 13:00:00
2022-12-27,13,14,0,2022-12-27 13:00:00,2022-12-27 14:00:00
2022-12-27,14,15,0,2022-12-27 14:00:00,2022-12-27 15:00:00
2022-12-27,15,16,228,2022-12-27 15:00:00,2022-12-27 16:00:00
2022-12-27,16,17,189,2022-12-27 16:00:00,2022-12-27 17:00:00
2022-12-27,17,18,45,2022-12-27 17:00:00,2022-12-27 18:00:00
2022-12-28,11,12,253,2022-12-28 11:00:00,2022-12-28 12:00:00
2022-12-28,12,13,259,2022-12-28 12:00:00,2022-12-28 13:00:00
2022-12-28,13,14,0,2022-12-28 13:00:00,2022-12-28 14:00:00
2022-12-28,14,15,158,2022-12-28 14:00:00,2022-12-28 15:00:00
2022-12-28,15,16,143,2022-12-28 15:00:00,2022-12-28 16:00:00
2022-12-30,11,12,300,2022-12-30 11:00:00,2022-12-30 12:00:00
2022-12-30,12,13,8,2022-12-30 12:00:00,2022-12-30 13:00:00
2022-12-30,13,14,11,2022-12-30 13:00:00,2022-12-30 14:00:00
2022-12-30,14,15,205,2022-12-30 14:00:00,2022-12-30 15:00:00
2022-12-30,15,16,318,2022-12-30 15:00:00,2022-12-30 16:00:00
2022-12-30,16,17,232,2022-12-30 16:00:00,2022-12-30 17:00:00
2023-01-02,17,18,312,2023-01-02 17:00:00,2023-01-02 18:00:00
2023-01-11,15,16,457,2023-01-11 15:00:00,2023-01-11 16:00:00
2023-01-11,16,17,633,2023-01-11 16:00:00,2023-01-11 17:00:00
2023-01-11,17,18,254,2023-01-11 17:00:00,2023-01-11 18:00:00
2023-01-13,14,15,219,2023-01-13 14:00:00,2023-01-13 15:00:00
2023-01-13,15,16,446,2023-01-13 15:00:00,2023-01-13 16:00:00
2023-01-13,16,17,178,2023-01-13 16:00:00,2023-01-13 17:00:00
2023-01-16,12,13,574,2023-01-16 12:00:00,2023-01-16 13:00:00
2023-01-16,13,14,0,2023-01-16 13:00:00,2023-01-16 14:00:00
2023-01-16,14,15,71,2023-01-16 14:00:00,2023-01-16 15:00:00
2023-01-16,15,16,562,2023-01-16 15:00:00,2023-01-16 16:00:00
2023-01-16,16,17,506,2023-01-16 16:00:00,2023-01-16 17:00:00
2023-01-16,17,18,191,2023-01-16 17:00:00,2023-01-16 18:00:00
2023-01-19,15,16,599,2023-01-19 15:00:00,2023-01-19 16:00:00
2023-01-19,16,17,398,2023-01-19 16:00:00,2023-01-19 17:00:00
2023-01-19,17,18,126,2023-01-19 17:00:00,2023-01-19 18:00:00
2023-01-20,16,17,370,2023-01-20 16:00:00,2023-01-20 17:00:00
2023-01-20,17,18,316,2023-01-20 17:00:00,2023-01-20 18:00:00
2023-01-20,18,19,625,2023-01-20 18:00:00,2023-01-20 19:00:00
2023-01-24,15,16,447,2023-01-24 15:00:00,2023-01-24 16:00:00
2023-01-24,16,17,211,2023-01-24 16:00:00,2023-01-24 17:00:00
2023-01-27,11,12,435,2023-01-27 11:00:00,2023-01-27 12:00:00
2023-01-27,12,13,173,2023-01-27 12:00:00,2023-01-27 13:00:00
2023-01-27,13,14,0,2023-01-27 13:00:00,2023-01-27 14:00:00
2023-01-27,14,15,377,2023-01-27 14:00:00,2023-01-27 15:00:00
2023-01-27,15,16,430,2023-01-27 15:00:00,2023-01-27 16:00:00
2023-01-27,16,17,277,2023-01-27 16:00:00,2023-01-27 17:00:00
2023-01-31,13,14,109,2023-01-31 13:00:00,2023-01-31 14:00:00
2023-01-31,14,15,301,2023-01-31 14:00:00,2023-01-31 15:00:00
2023-01-31,15,16,197,2023-01-31 15:00:00,2023-01-31 16:00:00
2023-01-31,16,17,248,2023-01-31 16:00:00,2023-01-31 17:00:00
2023-02-07,13,14,37,2023-02-07 13:00:00,2023-02-07 14:00:00
2023-02-07,14,15,266,2023-02-07 14:00:00,2023-02-07 15:00:00
2023-02-07,15,16,250,2023-02-07 15:00:00,2023-02-07 16:00:00
2023-02-07,16,17,58,2023-02-07 16:00:00,2023-02-07 17:00:00
2023-02-10,10,11,115,2023-02-10 10:00:00,2023-02-10 11:00:00
2023-02-10,11,12,314,2023-02-10 11:00:00,2023-02-10 12:00:00
2023-02-10,12,13,0,2023-02-10 12:00:00,2023-02-10 13:00:00
2023-02-10,13,14,188,2023-02-10 13:00:00,2023-02-10 14:00:00
2023-02-10,14,15,430,2023-02-10 14:00:00,2023-02-10 15:00:00
2023-02-10,15,16,242,2023-02-10 15:00:00,2023-02-10 16:00:00
